Channel,Frequency,Value,Label
C3,0,80.00710450889342,right_hand
C3,1,83.09449190036833,right_hand
C3,2,81.74252212386432,right_hand
C3,3,81.25337659038173,right_hand
C3,4,81.03795775943195,right_hand
C3,5,80.43473831017009,right_hand
C3,6,76.36600174306375,right_hand
C3,7,71.75943119472686,right_hand
C3,8,68.5584306992676,right_hand
C3,9,63.39454279640357,right_hand
C3,10,59.009478885522064,right_hand
C3,11,56.98444539190795,right_hand
C3,12,55.95801729965315,right_hand
C3,13,56.9953281170336,right_hand
C3,14,56.75847143670972,right_hand
C3,15,56.30332486688658,right_hand
C3,16,55.321829579273604,right_hand
C3,17,55.57652493009634,right_hand
C3,18,54.60640368330213,right_hand
C3,19,54.970256281269855,right_hand
C3,20,53.73188997357403,right_hand
C3,21,53.031763520234925,right_hand
C3,22,52.47615383346088,right_hand
C3,23,50.539021346102686,right_hand
C3,24,48.122701702933796,right_hand
C3,25,47.87752230901731,right_hand
C3,26,49.30408519388366,right_hand
C3,27,47.99916102167753,right_hand
C3,28,48.14751085438358,right_hand
C3,29,49.997840518947356,right_hand
C3,30,50.838597945739785,right_hand
C4,0,72.74321330867718,right_hand
C4,1,75.7815357505867,right_hand
C4,2,73.51968039335672,right_hand
C4,3,73.26050757274038,right_hand
C4,4,73.2405742021408,right_hand
C4,5,72.84993729713119,right_hand
C4,6,69.11750241279567,right_hand
C4,7,61.537344778676584,right_hand
C4,8,61.04673847273045,right_hand
C4,9,59.44547457724408,right_hand
C4,10,59.511390542868945,right_hand
C4,11,59.10588587519625,right_hand
C4,12,57.58118216454961,right_hand
C4,13,57.011181380076145,right_hand
C4,14,59.15909992707768,right_hand
C4,15,58.89352717557509,right_hand
C4,16,59.871382612104654,right_hand
C4,17,60.12154113451112,right_hand
C4,18,59.61855438544867,right_hand
C4,19,59.142049213400476,right_hand
C4,20,59.179601201157524,right_hand
C4,21,57.58091610707724,right_hand
C4,22,56.77481117590891,right_hand
C4,23,56.57938472442328,right_hand
C4,24,55.20080979968423,right_hand
C4,25,55.90187554698488,right_hand
C4,26,54.37205347603579,right_hand
C4,27,54.85700374163957,right_hand
C4,28,55.87510122705541,right_hand
C4,29,55.87282403633267,right_hand
C4,30,55.13188441348319,right_hand
C3,0,35.51234542975326,left_hand
C3,1,38.60776022991538,left_hand
C3,2,38.801157248385024,left_hand
C3,3,37.735894601744675,left_hand
C3,4,37.634501357909976,left_hand
C3,5,34.667402930691786,left_hand
C3,6,34.29914172702394,left_hand
C3,7,34.026208096283305,left_hand
C3,8,33.54388123789627,left_hand
C3,9,29.406169463673237,left_hand
C3,10,29.09460234327101,left_hand
C3,11,29.430224710218376,left_hand
C3,12,30.521772696442795,left_hand
C3,13,30.39717309102072,left_hand
C3,14,29.008862897786297,left_hand
C3,15,29.121257641671697,left_hand
C3,16,28.938568083053262,left_hand
C3,17,27.878464631545473,left_hand
C3,18,27.416873569220407,left_hand
C3,19,27.356537721359302,left_hand
C3,20,26.625710989879234,left_hand
C3,21,27.093235264207344,left_hand
C3,22,26.664423183554106,left_hand
C3,23,26.61217767096963,left_hand
C3,24,27.387064635793532,left_hand
C3,25,27.49349932616849,left_hand
C3,26,28.53676212350222,left_hand
C3,27,29.59023576337833,left_hand
C3,28,29.081686281201506,left_hand
C3,29,29.400819972160793,left_hand
C3,30,29.110675073905373,left_hand
C4,0,37.91749201541683,left_hand
C4,1,39.50960911196333,left_hand
C4,2,39.34934662337854,left_hand
C4,3,38.08598202229537,left_hand
C4,4,38.34421466099587,left_hand
C4,5,36.01675955129863,left_hand
C4,6,36.0135755692201,left_hand
C4,7,34.4563766897232,left_hand
C4,8,32.811849528548684,left_hand
C4,9,32.24571499055341,left_hand
C4,10,32.15368473148159,left_hand
C4,11,31.320197039340844,left_hand
C4,12,31.10392041324781,left_hand
C4,13,27.929087101730534,left_hand
C4,14,27.827927484061718,left_hand
C4,15,25.631942864214388,left_hand
C4,16,24.04010224579175,left_hand
C4,17,22.51144037669157,left_hand
C4,18,20.9693470611222,left_hand
C4,19,20.595608024526378,left_hand
C4,20,21.128821192437606,left_hand
C4,21,21.103343928041237,left_hand
C4,22,21.083783233701908,left_hand
C4,23,21.298389046833186,left_hand
C4,24,17.84390376428987,left_hand
C4,25,18.143541054190653,left_hand
C4,26,25.020900136241863,left_hand
C4,27,27.095398981095823,left_hand
C4,28,27.43641104501136,left_hand
C4,29,27.599125091116996,left_hand
C4,30,27.632024107397406,left_hand
C3,0,47.1071192093777,left_hand
C3,1,50.14920206280361,left_hand
C3,2,50.02619241845967,left_hand
C3,3,48.302658776327625,left_hand
C3,4,47.10843892401455,left_hand
C3,5,40.4644873631949,left_hand
C3,6,33.25222238763894,left_hand
C3,7,33.21879621757012,left_hand
C3,8,31.879207920931098,left_hand
C3,9,30.742414067907248,left_hand
C3,10,30.48699290584323,left_hand
C3,11,30.76901424942994,left_hand
C3,12,31.055846850610088,left_hand
C3,13,31.67147366726215,left_hand
C3,14,30.833449127713113,left_hand
C3,15,30.811104347622763,left_hand
C3,16,30.93195470158991,left_hand
C3,17,30.555576271013752,left_hand
C3,18,30.762927825330202,left_hand
C3,19,28.061412684971707,left_hand
C3,20,27.32957731655243,left_hand
C3,21,26.472835880170198,left_hand
C3,22,27.21985528837871,left_hand
C3,23,27.208356404977955,left_hand
C3,24,25.828714103124007,left_hand
C3,25,25.176284368621754,left_hand
C3,26,26.80922538153684,left_hand
C3,27,26.583873504396983,left_hand
C3,28,27.019800518800075,left_hand
